,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
2150,Alejandro Pozo Pozo,es ESP,"DF,MF",Almería,es La Liga,24,1999,21,9,976,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0,22,44,62,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
2151,Beñat Prados,es ESP,"MF,DF",Athletic Club,es La Liga,22,2001,26,16,1449,16.1,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,23,87,30,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
2152,Matteo Prati,it ITA,MF,Cagliari,it Serie A,19,2003,26,19,1972,21.9,1,1,2,1,0,0,4,0,2.0,2.0,0.8,2.8,8,66,17,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13
2153,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30,1992,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,0.43,0.07,0.50,0.43,0.50,0.23,0.17,0.40,0.23,0.40
2154,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,29,1993,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.24,0.01,0.24
2155,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,28,1995,28,27,2139,23.8,4,5,9,4,0,0,10,1,3.8,3.8,2.8,6.6,35,96,60,0.17,0.21,0.38,0.17,0.38,0.16,0.12,0.28,0.16,0.28
2156,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29,1994,30,30,2699,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2157,Marc Pubill,es ESP,DF,Almería,es La Liga,20,2003,23,22,1883,20.9,1,3,4,1,0,0,2,0,0.7,0.7,1.5,2.2,59,36,85,0.05,0.14,0.19,0.05,0.19,0.03,0.07,0.10,0.03,0.10
2158,Gustavo Puerta,co COL,"DF,MF",Leverkusen,de Bundesliga,20,2003,7,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,8,1,0.00,0.00,0.00,0.00,0.00,0.18,0.16,0.34,0.18,0.34
2159,Antonio Puertas,es ESP,"MF,FW",Granada,es La Liga,31,1992,27,6,730,8.1,0,2,2,0,0,2,3,1,3.2,1.6,0.6,2.2,18,22,46,0.00,0.25,0.25,0.00,0.25,0.39,0.08,0.47,0.20,0.27
2160,Arnau Puigmal,es ESP,"FW,DF",Almería,es La Liga,22,2001,11,3,255,2.8,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,4,8,17,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
2161,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,24,1998,36,32,2602,28.9,12,8,20,12,0,0,2,0,8.0,8.0,4.8,12.8,131,87,293,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44
2162,George Pușcaș,ro ROU,FW,Genoa,it Serie A,27,1996,8,1,191,2.1,0,0,0,0,0,0,0,0,2.1,2.1,0.1,2.2,5,3,17,0.00,0.00,0.00,0.00,0.00,0.98,0.04,1.02,0.98,1.02
2163,Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,20,2003,17,13,1190,13.2,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.1,13,67,1,0.15,0.00,0.15,0.15,0.15,0.08,0.01,0.08,0.08,0.08
2164,Domingos Quina,pt POR,MF,Udinese,it Serie A,23,1999,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2165,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28,1995,31,30,2651,29.5,5,3,8,5,0,0,8,0,3.5,3.4,4.1,7.4,72,120,106,0.17,0.10,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25
2166,Uroš Račić,rs SRB,MF,Sassuolo,it Serie A,25,1998,22,8,820,9.1,1,1,2,1,0,0,1,0,0.8,0.8,0.3,1.1,5,37,11,0.11,0.11,0.22,0.11,0.22,0.09,0.03,0.13,0.09,0.13
2167,Nemanja Radonjić,rs SRB,"MF,FW",Torino,it Serie A,27,1996,10,4,374,4.2,3,0,3,3,0,0,1,0,1.7,1.7,0.2,1.9,11,7,24,0.72,0.00,0.72,0.72,0.72,0.41,0.05,0.46,0.41,0.46
2168,Nemanja Radonjić,rs SRB,"MF,DF",Mallorca,es La Liga,27,1996,11,4,353,3.9,0,0,0,0,0,0,0,0,1.6,1.6,0.6,2.2,23,12,43,0.00,0.00,0.00,0.00,0.00,0.40,0.16,0.55,0.40,0.55
2169,Aleksandar Radovanović,rs SRB,DF,Almería,es La Liga,29,1993,9,8,569,6.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0,5,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
2170,Ionuț Radu,ro ROU,GK,Bournemouth,eng Premier League,26,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2171,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,27,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2172,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,24,1999,28,17,1204,13.4,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.6,15,46,37,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12
2173,Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2174,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,31,1991,26,25,2195,24.4,3,2,5,3,0,0,6,1,1.4,1.4,2.0,3.4,24,80,4,0.12,0.08,0.21,0.12,0.21,0.06,0.08,0.14,0.06,0.14
2175,Luca Raimund,de GER,"FW,MF",Stuttgart,de Bundesliga,18,2005,3,0,30,0.3,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0,1,2,0.00,0.00,0.00,0.00,0.00,2.79,0.00,2.79,2.79,2.79
2176,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27,1995,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
2177,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,eng Premier League,20,2002,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38,0.28,0.38
2178,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,35,1988,18,16,1425,15.8,2,1,3,2,0,0,6,0,1.3,1.3,3.0,4.3,24,127,52,0.13,0.06,0.19,0.13,0.19,0.08,0.19,0.27,0.08,0.27
2179,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,27,1996,34,34,2970,33.0,1,0,1,1,0,0,13,0,1.0,1.0,0.5,1.6,36,121,14,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05
2180,Largie Ramazani,be BEL,"FW,MF",Almería,es La Liga,22,2001,29,16,1555,17.3,3,5,8,3,0,0,11,2,4.7,4.7,5.7,10.5,59,42,104,0.17,0.29,0.46,0.17,0.46,0.27,0.33,0.60,0.27,0.60
2181,Benito Ramírez,es ESP,"FW,MF",Las Palmas,es La Liga,28,1995,20,2,384,4.3,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.9,13,5,46,0.23,0.23,0.47,0.23,0.47,0.09,0.13,0.22,0.09,0.22
2182,Sandro Ramírez,es ESP,FW,Las Palmas,es La Liga,28,1995,27,21,1808,20.1,1,3,4,1,0,1,3,0,3.7,3.0,2.6,5.6,61,54,209,0.05,0.15,0.20,0.05,0.20,0.19,0.13,0.32,0.15,0.28
2183,Chris Ramos,es ESP,"FW,MF",Cádiz,es La Liga,26,1997,37,30,2612,29.0,5,1,6,5,0,0,5,0,10.1,10.1,1.7,11.7,31,28,102,0.17,0.03,0.21,0.17,0.21,0.35,0.06,0.40,0.35,0.40
2184,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22,2001,29,16,1419,15.8,11,1,12,10,1,1,1,0,10.9,10.2,2.4,12.5,11,29,88,0.70,0.06,0.76,0.63,0.70,0.69,0.15,0.84,0.64,0.79
2185,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37,1986,28,28,2517,28.0,3,0,3,3,0,0,7,1,1.9,1.9,0.1,2.0,11,81,5,0.11,0.00,0.11,0.11,0.11,0.07,0.00,0.07,0.07,0.07
2186,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2187,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13
2188,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,2001,16,8,853,9.5,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,33,28,69,0.11,0.11,0.21,0.11,0.21,0.23,0.11,0.34,0.23,0.34
2189,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,24,1999,26,23,2065,22.9,2,1,3,2,0,0,14,0,0.9,0.9,0.4,1.3,17,99,5,0.09,0.04,0.13,0.09,0.13,0.04,0.02,0.06,0.04,0.06
2190,Filippo Ranocchia,it ITA,"MF,DF",Empoli,it Serie A,22,2001,9,5,476,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.8,5,21,11,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14
2191,Grant Ranos,am ARM,"MF,FW",Gladbach,de Bundesliga,20,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,3,4,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45
2192,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26,1996,28,17,1368,15.2,6,9,15,5,1,1,4,1,7.4,6.6,5.7,12.3,49,57,164,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81
2193,Nicolai Rapp,de GER,DF,Werder Bremen,de Bundesliga,26,1996,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2194,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,24,14,1175,13.1,2,0,2,2,0,0,4,2,2.1,2.1,1.2,3.3,19,22,102,0.15,0.00,0.15,0.15,0.15,0.16,0.09,0.26,0.16,0.26
2195,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25,1997,33,26,2271,25.2,7,2,9,5,2,2,2,0,7.4,5.8,2.3,8.1,95,65,184,0.28,0.08,0.36,0.20,0.28,0.29,0.09,0.38,0.23,0.32
2196,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23,2000,37,14,1584,17.6,5,3,8,5,0,1,0,0,5.9,4.5,4.0,8.5,29,54,139,0.28,0.17,0.45,0.28,0.45,0.33,0.23,0.56,0.25,0.48
2197,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,es La Liga,25,1998,12,6,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,28,19,25,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
2198,Raúl,es ESP,FW,Osasuna,es La Liga,22,2000,35,13,1355,15.1,6,1,7,6,0,0,4,0,4.9,4.9,0.6,5.5,16,22,68,0.40,0.07,0.46,0.40,0.46,0.32,0.04,0.37,0.32,0.37
2199,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25,1998,31,31,2739,30.4,2,8,10,2,0,0,6,0,0.8,0.8,7.3,8.0,77,131,246,0.07,0.26,0.33,0.07,0.33,0.02,0.24,0.26,0.02,0.26
2200,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2201,David Raya,es ESP,GK,Arsenal,eng Premier League,27,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2202,Tim Ream,us USA,DF,Fulham,eng Premier League,35,1987,18,17,1503,16.7,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,11,65,3,0.06,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06
2203,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,1998,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0.00,0.12,0.12,0.12,0.10,0.22,0.33,0.10,0.33
2204,Nathan Redmond,eng ENG,"FW,MF",Burnley,eng Premier League,29,1994,12,0,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,8,22,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19
2205,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28,1995,27,15,1325,14.7,0,2,2,0,0,0,6,0,0.3,0.3,1.1,1.4,10,56,40,0.00,0.14,0.14,0.00,0.14,0.02,0.07,0.09,0.02,0.09
2206,Sergio Reguilón,es ESP,DF,Manchester Utd,eng Premier League,26,1996,9,4,412,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,11,27,38,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20
2207,Sergio Reguilón,es ESP,DF,Brentford,eng Premier League,26,1996,16,14,1118,12.4,0,4,4,0,0,0,4,1,0.8,0.8,2.8,3.6,34,38,40,0.00,0.32,0.32,0.00,0.32,0.06,0.23,0.29,0.06,0.29
2208,Bobby Reid,jm JAM,FW,Fulham,eng Premier League,30,1993,33,17,1423,15.8,6,2,8,6,0,0,4,0,4.6,4.6,1.8,6.4,35,47,95,0.38,0.13,0.51,0.38,0.51,0.28,0.11,0.40,0.28,0.40
2209,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25,1998,36,33,2820,31.3,3,3,6,3,0,0,8,0,3.2,3.2,3.7,7.0,88,204,90,0.10,0.10,0.19,0.10,0.19,0.10,0.12,0.22,0.10,0.22
2210,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40,1982,2,2,180,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2211,Reinier,br BRA,"MF,FW",Frosinone,it Serie A,21,2002,22,13,1059,11.8,2,2,4,2,0,0,3,0,1.3,1.3,1.9,3.2,10,32,42,0.17,0.17,0.34,0.17,0.34,0.11,0.16,0.27,0.11,0.27
2212,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,21,2002,34,24,2136,23.7,6,3,9,6,0,0,2,0,3.7,3.7,2.4,6.0,41,110,58,0.25,0.13,0.38,0.25,0.38,0.15,0.10,0.25,0.15,0.25
2213,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28,1995,37,37,3275,36.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2214,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18,2005,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2215,Mateo Retegui,it ITA,FW,Genoa,it Serie A,24,1999,29,26,2216,24.6,7,2,9,6,1,1,5,0,5.8,5.0,0.7,5.8,18,17,112,0.28,0.08,0.37,0.24,0.32,0.24,0.03,0.27,0.20,0.24
2216,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,34,1989,26,18,1601,17.8,6,8,14,6,0,0,2,0,6.5,6.5,5.1,11.7,31,64,89,0.34,0.45,0.79,0.34,0.79,0.37,0.29,0.65,0.37,0.65
2217,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,de Bundesliga,25,1997,25,24,1985,22.1,2,0,2,1,1,1,4,0,1.7,1.0,0.5,1.5,15,91,51,0.09,0.00,0.09,0.05,0.05,0.08,0.02,0.10,0.04,0.07
2218,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,eng Premier League,20,2002,9,2,235,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,3,12,14,0.00,0.38,0.38,0.00,0.38,0.11,0.18,0.29,0.11,0.29
2219,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,20,2002,11,1,280,3.1,0,0,0,0,0,0,1,0,0.8,0.8,0.8,1.6,8,20,19,0.00,0.00,0.00,0.00,0.00,0.27,0.25,0.52,0.27,0.52
2220,Chadi Riad,ma MAR,DF,Betis,es La Liga,20,2003,26,24,2164,24.0,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,4,34,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
2221,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,23,1999,29,24,2220,24.7,0,0,0,0,0,0,6,1,2.0,2.0,0.5,2.6,15,82,7,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
2222,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,eng Premier League,18,2005,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2223,Samuele Ricci,it ITA,MF,Torino,it Serie A,21,2001,32,28,2395,26.6,1,2,3,1,0,0,8,1,1.3,1.3,2.3,3.6,47,122,73,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.13,0.05,0.13
2224,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.20,0.22,0.42,0.20,0.42,0.09,0.15,0.24,0.09,0.24
2225,Chris Richards,us USA,"DF,MF",Crystal Palace,eng Premier League,23,2000,26,23,2094,23.3,1,1,2,1,0,0,3,0,0.6,0.6,0.4,1.0,1,43,1,0.04,0.04,0.09,0.04,0.09,0.03,0.02,0.04,0.03,0.04
2226,Amir Richardson,ma MAR,MF,Reims,fr Ligue 1,21,2002,28,14,1352,15.0,3,1,4,3,0,0,4,0,1.6,1.6,1.1,2.8,28,72,40,0.20,0.07,0.27,0.20,0.27,0.11,0.08,0.18,0.11,0.18
2227,Richarlison,br BRA,FW,Tottenham,eng Premier League,26,1997,28,18,1491,16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,26,38,106,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.70,0.58,0.70
2228,Marco Richter,de GER,"MF,FW",Mainz 05,de Bundesliga,25,1997,20,7,717,8.0,1,0,1,1,0,0,3,0,1.9,1.9,1.3,3.2,20,30,53,0.13,0.00,0.13,0.13,0.13,0.24,0.16,0.40,0.24,0.40
2229,Diego Rico,es ESP,DF,Getafe,es La Liga,30,1993,32,28,2535,28.2,0,7,7,0,0,0,10,0,0.3,0.3,3.8,4.1,28,119,79,0.00,0.25,0.25,0.00,0.25,0.01,0.14,0.15,0.01,0.15
2230,Clemens Riedel,de GER,DF,Darmstadt 98,de Bundesliga,20,2003,14,9,755,8.4,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,4,47,27,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12
2231,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,21,2002,15,2,365,4.1,1,0,1,1,0,0,0,0,0.3,0.3,0.6,0.9,10,41,18,0.25,0.00,0.25,0.25,0.25,0.07,0.14,0.21,0.07,0.21
2232,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,eng Premier League,26,1996,9,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
2233,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,1988,33,33,2970,33.0,0,0,0,0,0,0,5,0,0.0,0.0,0.2,0.2,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
2234,Luis Rioja,es ESP,"FW,MF",Alavés,es La Liga,29,1993,37,31,2498,27.8,5,4,9,2,3,4,4,0,6.1,3.0,3.9,6.9,70,77,173,0.18,0.14,0.32,0.07,0.22,0.22,0.14,0.36,0.11,0.25
2235,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2236,Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,23,2000,34,17,1528,17.0,3,5,8,3,0,0,1,0,2.7,2.7,3.1,5.9,87,53,166,0.18,0.29,0.47,0.18,0.47,0.16,0.18,0.35,0.16,0.35
2237,Alberto Risco,es ESP,MF,Getafe,es La Liga,17,2005,4,1,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,3,6,14,0.00,0.00,0.00,0.00,0.00,0.05,0.21,0.26,0.05,0.26
2238,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,es La Liga,27,1995,12,9,808,9.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,24,30,42,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
2239,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,33,1989,13,0,128,1.4,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,5,8,13,0.70,0.00,0.70,0.70,0.70,0.68,0.00,0.68,0.68,0.68
2240,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,18,2004,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2241,Sergi Roberto,es ESP,"MF,DF",Barcelona,es La Liga,31,1992,14,10,860,9.6,3,2,5,3,0,0,4,0,1.7,1.7,0.8,2.4,13,50,33,0.31,0.21,0.52,0.31,0.52,0.18,0.08,0.26,0.18,0.26
2242,Lucas Robertone,ar ARG,MF,Almería,es La Liga,26,1997,33,29,2381,26.5,0,5,5,0,0,0,11,0,1.0,1.0,2.5,3.5,31,128,37,0.00,0.19,0.19,0.00,0.19,0.04,0.10,0.13,0.04,0.13
2243,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,27,1995,14,8,823,9.1,0,1,1,0,0,0,5,1,0.0,0.0,0.2,0.2,6,38,13,0.00,0.11,0.11,0.00,0.11,0.00,0.02,0.02,0.00,0.02
2244,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29,1994,23,18,1693,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,63,140,130,0.16,0.11,0.27,0.16,0.27,0.10,0.29,0.39,0.10,0.39
2245,Antonee Robinson,us USA,DF,Fulham,eng Premier League,25,1997,37,37,3265,36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,99,129,194,0.00,0.17,0.17,0.00,0.17,0.02,0.11,0.13,0.02,0.13
2246,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,29,1993,34,31,2885,32.1,1,1,2,1,0,0,10,0,1.2,1.2,1.2,2.4,8,63,14,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
2247,Marc Roca,es ESP,MF,Betis,es La Liga,26,1996,26,24,1980,22.0,2,2,4,2,0,0,5,0,1.1,1.1,1.4,2.5,24,126,20,0.09,0.09,0.18,0.09,0.18,0.05,0.06,0.12,0.05,0.12
2248,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,32,1990,8,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
2249,Sergio Rodelas,es ESP,"FW,DF",Granada,es La Liga,18,2004,3,2,122,1.4,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.2,3,1,5,0.00,0.74,0.74,0.00,0.74,0.02,0.84,0.86,0.02,0.86
2250,Rodri,es ESP,MF,Manchester City,eng Premier League,27,1996,34,34,2931,32.6,8,9,17,8,0,0,8,1,4.1,4.1,3.9,8.0,76,376,55,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24
2251,Rodri,es ESP,"FW,MF",Betis,es La Liga,23,2000,29,9,1051,11.7,0,0,0,0,0,0,0,0,1.1,1.1,1.2,2.2,49,65,116,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19
2252,Álvaro Rodríguez,uy URU,FW,Real Madrid,es La Liga,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2253,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,es La Liga,25,1998,24,9,967,10.7,2,1,3,2,0,0,9,0,1.5,1.5,2.1,3.6,13,52,48,0.19,0.09,0.28,0.19,0.28,0.14,0.20,0.34,0.14,0.34
2254,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20,2003,5,3,258,2.9,0,2,2,0,0,0,1,0,0.0,0.0,0.8,0.8,2,9,4,0.00,0.70,0.70,0.00,0.70,0.01,0.27,0.28,0.01,0.28
2255,Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,35,1988,36,31,2615,29.1,2,4,6,2,0,0,9,0,1.4,1.4,4.1,5.5,54,118,110,0.07,0.14,0.21,0.07,0.21,0.05,0.14,0.19,0.05,0.19
2256,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,29,1994,24,22,1846,20.5,2,0,2,2,0,0,6,0,0.7,0.7,0.8,1.4,8,65,18,0.10,0.00,0.10,0.10,0.10,0.03,0.04,0.07,0.03,0.07
